,Date,Value
0,1990-01-01,294556
1,1990-04-01,296069
2,1990-07-01,292978
3,1990-10-01,291970
4,1991-01-01,291118
5,1991-04-01,290751
6,1991-07-01,290116
7,1991-10-01,290620
8,1992-01-01,290641
9,1992-04-01,290298
10,1992-07-01,292147
11,1992-10-01,294182
12,1993-01-01,296310
13,1993-04-01,297779
14,1993-07-01,300125
15,1993-10-01,302117
16,1994-01-01,305669
17,1994-04-01,309236
18,1994-07-01,312770
19,1994-10-01,314667
20,1995-01-01,316003
21,1995-04-01,317171
22,1995-07-01,320102
23,1995-10-01,320514
24,1996-01-01,323457
25,1996-04-01,324609
26,1996-07-01,327469
27,1996-10-01,329992
28,1997-01-01,334548
29,1997-04-01,337436
30,1997-07-01,339916
31,1997-10-01,343953
32,1998-01-01,346938
33,1998-04-01,349999
34,1998-07-01,352389
35,1998-10-01,355946
36,1999-01-01,358191
37,1999-04-01,358930
38,1999-07-01,365530
39,1999-10-01,370797
40,2000-01-01,373622
41,2000-04-01,375713
42,2000-07-01,376740
43,2000-10-01,377333
44,2001-01-01,382731
45,2001-04-01,385933
46,2001-07-01,389008
47,2001-10-01,390452
48,2002-01-01,392181
49,2002-04-01,394167
50,2002-07-01,397175
51,2002-10-01,400587
52,2003-01-01,403246
53,2003-04-01,407021
54,2003-07-01,411215
55,2003-10-01,414687
56,2004-01-01,416942
57,2004-04-01,418434
58,2004-07-01,419128
59,2004-10-01,420507
60,2005-01-01,424041
61,2005-04-01,429313
62,2005-07-01,434203
63,2005-10-01,440716
64,2006-01-01,442476
65,2006-04-01,443589
66,2006-07-01,444045
67,2006-10-01,446352
68,2007-01-01,450518
69,2007-04-01,453311
70,2007-07-01,456830
71,2007-10-01,458982
72,2008-01-01,461472
73,2008-04-01,458912
74,2008-07-01,451736
75,2008-10-01,442406
76,2009-01-01,434676
77,2009-04-01,433618
78,2009-07-01,433926
79,2009-10-01,435228
80,2010-01-01,438001
81,2010-04-01,442390
82,2010-07-01,445324
83,2010-10-01,445606
84,2011-01-01,448411
85,2011-04-01,448857
86,2011-07-01,450249
87,2011-10-01,451086
88,2012-01-01,453989
89,2012-04-01,453631
90,2012-07-01,459145
91,2012-10-01,458439
92,2013-01-01,461394
93,2013-04-01,463867
94,2013-07-01,468254
95,2013-10-01,470740
96,2014-01-01,473842
97,2014-04-01,476949
98,2014-07-01,479696
99,2014-10-01,482379
100,2015-01-01,484920
101,2015-04-01,488378
102,2015-07-01,490478
103,2015-10-01,494144
104,2016-01-01,494966
105,2016-04-01,497593
106,2016-07-01,499836
107,2016-10-01,503083
108,2017-01-01,505983
109,2017-04-01,507255
110,2017-07-01,508982
111,2017-10-01,511014
112,2018-01-01,511318
113,2018-04-01,514011
114,2018-07-01,517029
115,2018-10-01,518136
116,2019-01-01,521458
117,2019-04-01,520893
118,2019-07-01,523463
119,2019-10-01,523588
